s1	s6	s0
AHN	2011-09-03	18
AHN	2011-09-04	24
AHN	2011-09-05	22
AHN	2011-09-06	14
AHN	2011-09-07	20
AHN	2011-09-08	14
AHN	2011-09-09	22
AHN	2011-09-10	10
AHN	2011-09-11	22
AHN	2011-09-12	26
AHN	2011-09-13	36
AHN	2011-09-14	20
AHN	2011-09-15	14
AHN	2011-09-16	30
AHN	2011-09-17	10
AHN	2011-09-18	28
AHN	2011-09-19	26
AHN	2011-09-20	22
AHN	2011-09-21	18
AHN	2011-09-22	18
AHN	2011-09-23	20
AHN	2011-09-24	10
AHN	2011-09-25	20
AHN	2011-09-26	22
AHN	2011-09-27	28
AHN	2011-09-28	24
AHN	2011-09-29	30
AHN	2011-09-30	22
AHN	2011-10-01	10
AHN	2011-10-02	30
AHN	2011-10-03	18
AHN	2011-10-04	16
AHN	2011-10-05	30
AHN	2011-10-06	14
AHN	2011-10-07	12
AHN	2011-10-08	12
AHN	2011-10-09	26
AHN	2011-10-10	26
AHN	2011-10-11	24
AHN	2011-10-12	10
AHN	2011-10-13	14
AHN	2011-10-14	16
AHN	2011-10-15	22
AHN	2011-10-16	16
AHN	2011-10-17	30
AHN	2011-10-18	22
AHN	2011-10-19	14
AHN	2011-10-20	20
AHN	2011-10-21	18
AHN	2011-10-22	26
AHN	2011-10-23	22
AHN	2011-10-24	30
AHN	2011-10-25	24
AHN	2011-10-26	32
AHN	2011-10-27	26
AHN	2011-10-28	22
AHN	2011-10-29	24
AHN	2011-10-30	22
AHN	2011-10-31	36
AHN	2011-11-01	20
AHN	2011-11-02	22
AHN	2011-11-03	36
AHN	2011-11-04	22
AHN	2011-11-05	26
AHN	2011-11-06	10
AHN	2011-11-07	24
AHN	2011-11-08	12
AHN	2011-11-09	26
AHN	2011-11-10	30
AHN	2011-11-11	26
AHN	2011-11-12	14
AHN	2011-11-13	30
AHN	2011-11-14	20
AHN	2011-11-15	20
AHN	2011-11-16	22
AHN	2011-11-17	24
AHN	2011-11-18	26
AHN	2011-11-19	24
AHN	2011-11-20	24
AHN	2011-11-21	20
AHN	2011-11-22	20
AHN	2011-11-23	20
AHN	2011-11-24	26
AHN	2011-11-25	16
AHN	2011-11-26	12
AHN	2011-11-27	24
AHN	2011-11-28	30
AHN	2011-11-29	18
AHN	2011-11-30	26
AHN	2011-12-01	20
AHN	2011-12-02	18
AHN	2011-12-03	28
AHN	2011-12-04	30
AHN	2011-12-05	32
AHN	2011-12-06	38
AHN	2011-12-07	14
AHN	2011-12-08	20
AHN	2011-12-09	24
AHN	2011-12-10	32
AHN	2011-12-11	20
AHN	2011-12-12	18
AHN	2011-12-13	22
AHN	2011-12-14	26
AHN	2011-12-15	22
AHN	2011-12-16	22
AHN	2011-12-17	22
AHN	2011-12-18	14
AHN	2011-12-19	36
AHN	2011-12-20	36
AHN	2011-12-21	24
AHN	2011-12-22	16
AHN	2011-12-23	28
AHN	2011-12-24	10
AHN	2011-12-25	22
AHN	2011-12-26	30
AHN	2011-12-27	40
AHN	2011-12-28	36
AHN	2011-12-29	24
AHN	2011-12-30	24
AHN	2011-12-31	26
AHN	2012-01-01	38
AHN	2012-01-02	18
AHN	2012-01-03	26
AHN	2012-01-04	36
AHN	2012-01-05	24
AHN	2012-01-06	18
AHN	2012-01-07	34
AHN	2012-01-08	30
AHN	2012-01-09	24
AHN	2012-01-10	26
AHN	2012-01-11	34
AHN	2012-01-12	24
AHN	2012-01-13	34
AHN	2012-01-14	24
AHN	2012-01-15	34
AHN	2012-01-16	38
AHN	2012-01-17	40
AHN	2012-01-18	14
AHN	2012-01-19	22
AHN	2012-01-20	30
AHN	2012-01-21	26
AHN	2012-01-22	22
AHN	2012-01-23	24
AHN	2012-01-24	28
AHN	2012-01-25	32
AHN	2012-01-26	32
AHN	2012-01-27	42
AHN	2012-01-28	30
AHN	2012-01-29	42
AHN	2012-01-30	30
AHN	2012-01-31	40
AHN	2012-02-01	40
AHN	2012-02-02	38
AHN	2012-02-03	24
AHN	2012-02-04	20
AHN	2012-02-05	40
AHN	2012-02-06	44
AHN	2012-02-07	20
AHN	2012-02-08	30
AHN	2012-02-09	40
AHN	2012-02-10	18
AHN	2012-02-11	26
AHN	2012-02-12	28
AHN	2012-02-13	36
AHN	2012-02-14	18
AHN	2012-02-15	42
AHN	2012-02-16	14
AHN	2012-02-17	50
AHN	2012-02-18	28
AHN	2012-02-19	54
AHN	2012-02-20	40
AHN	2012-02-21	30
AHN	2012-02-22	46
AHN	2012-02-23	18
AHN	2012-02-24	58
AHN	2012-02-25	20
AHN	2012-02-26	38
AHN	2012-02-27	44
AHN	2012-02-28	32
AHN	2012-02-29	40
AHN	2012-03-01	28
AHN	2012-03-02	30
AHN	2012-03-03	22
AHN	2012-03-04	32
AHN	2012-03-05	40
AHN	2012-03-06	38
AHN	2012-03-07	26
AHN	2012-03-08	34
AHN	2012-03-09	20
AHN	2012-03-10	28
AHN	2012-03-11	36
AHN	2012-03-12	36
AHN	2012-03-13	38
AHN	2012-03-14	30
AHN	2012-03-15	42
AHN	2012-03-16	16
AHN	2012-03-17	38
AHN	2012-03-18	52
AHN	2012-03-19	22
AHN	2012-03-20	40
AHN	2012-03-21	34
AHN	2012-03-22	40
AHN	2012-03-23	42
AHN	2012-03-24	46
AHN	2012-03-25	56
AHN	2012-03-26	28
AHN	2012-03-27	42
AHN	2012-03-28	28
AHN	2012-03-29	40
AHN	2012-03-30	34
AHN	2012-03-31	24
AHN	2012-04-01	36
AHN	2012-04-02	38
AHN	2012-04-03	46
AHN	2012-04-04	22
AHN	2012-04-05	30
AHN	2012-04-06	48
