s1	s6	s0
AHN	2011-09-03	578
AHN	2011-09-04	624
AHN	2011-09-05	686
AHN	2011-09-06	646
AHN	2011-09-07	672
AHN	2011-09-08	680
AHN	2011-09-09	626
AHN	2011-09-10	528
AHN	2011-09-11	650
AHN	2011-09-12	592
AHN	2011-09-13	626
AHN	2011-09-14	694
AHN	2011-09-15	612
AHN	2011-09-16	712
AHN	2011-09-17	630
AHN	2011-09-18	662
AHN	2011-09-19	766
AHN	2011-09-20	616
AHN	2011-09-21	666
AHN	2011-09-22	634
AHN	2011-09-23	610
AHN	2011-09-24	618
AHN	2011-09-25	656
AHN	2011-09-26	718
AHN	2011-09-27	686
AHN	2011-09-28	668
AHN	2011-09-29	630
AHN	2011-09-30	770
AHN	2011-10-01	602
AHN	2011-10-02	660
AHN	2011-10-03	732
AHN	2011-10-04	690
AHN	2011-10-05	662
AHN	2011-10-06	772
AHN	2011-10-07	638
AHN	2011-10-08	626
AHN	2011-10-09	592
AHN	2011-10-10	654
AHN	2011-10-11	652
AHN	2011-10-12	594
AHN	2011-10-13	664
AHN	2011-10-14	632
AHN	2011-10-15	554
AHN	2011-10-16	630
AHN	2011-10-17	786
AHN	2011-10-18	652
AHN	2011-10-19	650
AHN	2011-10-20	748
AHN	2011-10-21	704
AHN	2011-10-22	674
AHN	2011-10-23	672
AHN	2011-10-24	736
AHN	2011-10-25	638
AHN	2011-10-26	690
AHN	2011-10-27	706
AHN	2011-10-28	564
AHN	2011-10-29	668
AHN	2011-10-30	638
AHN	2011-10-31	728
AHN	2011-11-01	662
AHN	2011-11-02	732
AHN	2011-11-03	708
AHN	2011-11-04	716
AHN	2011-11-05	610
AHN	2011-11-06	720
AHN	2011-11-07	692
AHN	2011-11-08	664
AHN	2011-11-09	558
AHN	2011-11-10	608
AHN	2011-11-11	630
AHN	2011-11-12	636
AHN	2011-11-13	624
AHN	2011-11-14	798
AHN	2011-11-15	662
AHN	2011-11-16	666
AHN	2011-11-17	658
AHN	2011-11-18	618
AHN	2011-11-19	630
AHN	2011-11-20	564
AHN	2011-11-21	728
AHN	2011-11-22	698
AHN	2011-11-23	728
AHN	2011-11-24	650
AHN	2011-11-25	656
AHN	2011-11-26	550
AHN	2011-11-27	682
AHN	2011-11-28	718
AHN	2011-11-29	672
AHN	2011-11-30	650
AHN	2011-12-01	636
AHN	2011-12-02	642
AHN	2011-12-03	540
AHN	2011-12-04	644
AHN	2011-12-05	680
AHN	2011-12-06	720
AHN	2011-12-07	618
AHN	2011-12-08	660
AHN	2011-12-09	554
AHN	2011-12-10	552
AHN	2011-12-11	542
AHN	2011-12-12	698
AHN	2011-12-13	634
AHN	2011-12-14	698
AHN	2011-12-15	646
AHN	2011-12-16	598
AHN	2011-12-17	638
AHN	2011-12-18	606
AHN	2011-12-19	674
AHN	2011-12-20	648
AHN	2011-12-21	736
AHN	2011-12-22	552
AHN	2011-12-23	648
AHN	2011-12-24	556
AHN	2011-12-25	648
AHN	2011-12-26	760
AHN	2011-12-27	708
AHN	2011-12-28	760
AHN	2011-12-29	730
AHN	2011-12-30	710
AHN	2011-12-31	660
AHN	2012-01-01	696
AHN	2012-01-02	690
AHN	2012-01-03	790
AHN	2012-01-04	680
AHN	2012-01-05	626
AHN	2012-01-06	592
AHN	2012-01-07	626
AHN	2012-01-08	686
AHN	2012-01-09	766
AHN	2012-01-10	674
AHN	2012-01-11	616
AHN	2012-01-12	620
AHN	2012-01-13	688
AHN	2012-01-14	676
AHN	2012-01-15	682
AHN	2012-01-16	740
AHN	2012-01-17	662
AHN	2012-01-18	770
AHN	2012-01-19	750
AHN	2012-01-20	656
AHN	2012-01-21	648
AHN	2012-01-22	602
AHN	2012-01-23	622
AHN	2012-01-24	732
AHN	2012-01-25	658
AHN	2012-01-26	642
AHN	2012-01-27	718
AHN	2012-01-28	628
AHN	2012-01-29	632
AHN	2012-01-30	738
AHN	2012-01-31	748
AHN	2012-02-01	660
AHN	2012-02-02	688
AHN	2012-02-03	692
AHN	2012-02-04	680
AHN	2012-02-05	786
AHN	2012-02-06	724
AHN	2012-02-07	800
AHN	2012-02-08	678
AHN	2012-02-09	742
AHN	2012-02-10	678
AHN	2012-02-11	642
AHN	2012-02-12	722
AHN	2012-02-13	862
AHN	2012-02-14	876
AHN	2012-02-15	762
AHN	2012-02-16	748
AHN	2012-02-17	832
AHN	2012-02-18	630
AHN	2012-02-19	772
AHN	2012-02-20	886
AHN	2012-02-21	876
AHN	2012-02-22	752
AHN	2012-02-23	866
AHN	2012-02-24	714
AHN	2012-02-25	700
AHN	2012-02-26	740
AHN	2012-02-27	850
AHN	2012-02-28	730
AHN	2012-02-29	766
AHN	2012-03-01	816
AHN	2012-03-02	786
AHN	2012-03-03	688
AHN	2012-03-04	818
AHN	2012-03-05	894
AHN	2012-03-06	894
AHN	2012-03-07	776
AHN	2012-03-08	808
AHN	2012-03-09	740
AHN	2012-03-10	696
AHN	2012-03-11	688
AHN	2012-03-12	808
AHN	2012-03-13	774
AHN	2012-03-14	828
AHN	2012-03-15	804
AHN	2012-03-16	738
AHN	2012-03-17	736
AHN	2012-03-18	806
AHN	2012-03-19	856
AHN	2012-03-20	800
AHN	2012-03-21	782
AHN	2012-03-22	716
AHN	2012-03-23	778
AHN	2012-03-24	730
AHN	2012-03-25	734
AHN	2012-03-26	872
AHN	2012-03-27	784
AHN	2012-03-28	756
AHN	2012-03-29	754
AHN	2012-03-30	828
AHN	2012-03-31	748
AHN	2012-04-01	724
AHN	2012-04-02	858
AHN	2012-04-03	806
AHN	2012-04-04	688
AHN	2012-04-05	718
AHN	2012-04-06	686
AHN	2012-04-07	734
AHN	2012-04-08	730
AHN	2012-04-09	808
AHN	2012-04-10	756
AHN	2012-04-11	740
AHN	2012-04-12	696
AHN	2012-04-13	674
AHN	2012-04-14	686
AHN	2012-04-15	694
AHN	2012-04-16	828
AHN	2012-04-17	682
AHN	2012-04-18	742
AHN	2012-04-19	628
AHN	2012-04-20	644
